NAMES,HABITAT,NO .OF THREATS,POPULATION TREND,CATEGORY STATUS,CATEGORY,GENERATION LENGTH
Baja California Rock Squirrel,Shrubland,1,Decreasing,en, MAMMALIA,
Mount Kenya Potto,Forest,3,Decreasing,cr, MAMMALIA,
Bornean Tarsier,Forest,4,Decreasing,vu, MAMMALIA,7.5
Tioman Island Slow Loris,Forest,3,Decreasing,en, MAMMALIA,7.5
Atlantic Leatherjacket,Marine Neritic,0,Stable,lc, ACTINOPTERYGII,
Northern Gelada,Grassland,4,Decreasing,vu, MAMMALIA,
Tricolour Langur,Forest,1,Decreasing,cr, MAMMALIA,11
Natuna Islands Tarsier,Artificial/Terrestrial,2,Decreasing,cr, MAMMALIA,7.5
Belitung Island Tarsier,Artificial/Terrestrial,1,Decreasing,en, MAMMALIA,7.5
Central Yellow Baboon,Forest,0,Stable,lc, MAMMALIA,
Northern Yellow Baboon,Forest,0,Stable,lc, MAMMALIA,
Mainland Drill,Forest,5,Decreasing,en, MAMMALIA,
Horsfield's Tarsier,Forest,4,Decreasing,vu, MAMMALIA,6
Pappogeomys bulleri ssp. alcorni,Forest,2,Decreasing,cr, MAMMALIA,
Bioko Drill,Forest,4,Decreasing,en, MAMMALIA,10
Japanese Macaque,Forest,0,Stable,lc, MAMMALIA,12.5
Yakushima Macaque,Forest,2,Stable,lc, MAMMALIA,12.5
Bornean Banded Langur,Forest,2,Decreasing,cr, MAMMALIA,11
Benin Potto,Forest,3,Decreasing,en, MAMMALIA,9
Pila ovata ssp. gordoni,Wetlands (inland),2,Decreasing,nt, GASTROPODA,2.5
Weddell’s Saddle-back Tamarin,Forest,0,Decreasing,lc, MAMMALIA,
Hubei Golden Snub-nosed Monkey,Forest,2,Increasing,vu, MAMMALIA,13
Quinling Golden Snub-nosed Monkey,Forest,1,Increasing,nt, MAMMALIA,13
Moupin Golden Snub-nosed Monkey,Forest,5,Decreasing,en, MAMMALIA,13
Matschie’s Grivet Monkey,Forest,5,Decreasing,dd, MAMMALIA,
Common Grivet Monkey,Savanna,5,Decreasing,lc, MAMMALIA,
White Saddleback Tamarin,Forest,0,Decreasing,lc, MAMMALIA,
Dalquest's Pocket Mouse,Desert,1,Decreasing,vu, MAMMALIA,
Sumatran Elephant,Forest,2,Decreasing,cr, MAMMALIA,
Gulf Sturgeon,Wetlands (inland),7,Decreasing,en, ACTINOPTERYGII,43.4
Deccan Hanuman Langur,Forest,0,Decreasing,nt, MAMMALIA,10.21
Madras Gray Langur,Forest,4,Decreasing,nt, MAMMALIA,12
Pale-bellied Bonnet Macaque,Forest,3,Decreasing,vu, MAMMALIA,12.5
Dark-bellied Bonnet Macaque,Forest,3,Decreasing,vu, MAMMALIA,12.5
Atlantic Sturgeon,Wetlands (inland),0,Increasing,vu, ACTINOPTERYGII,55.4
Pacific Abalone,Marine Neritic,5,Decreasing,en, GASTROPODA,14
Disk Abalone,Marine Neritic,4,Decreasing,en, GASTROPODA,14
Sri Lankan Leopard,Forest,9,Decreasing,vu, MAMMALIA,7.42
Chasen’s Pale-thighed Langur,Forest,1,Decreasing,en, MAMMALIA,10
Trachypithecus phayrei ssp. phayrei,Forest,2,Decreasing,en, MAMMALIA,12
Sonoyta Mud Turtle,Wetlands (inland),6,Decreasing,cr, REPTILIA,12
Uva Red Slender Loris,Forest,2,Decreasing,dd, MAMMALIA,7.5
Southern Gelada,Grassland,3,Decreasing,lc, MAMMALIA,
Bintan Island Pale-thighed Langur,Forest,2,Decreasing,en, MAMMALIA,10
Indochinese Leopard,Forest,1,Decreasing,cr, MAMMALIA,7.4
Palau Flying Fox,Forest,4,Stable,nt, MAMMALIA,
Javan Leopard,Forest,10,Decreasing,en, MAMMALIA,7.8
Highland Toque Macaque,Forest,0,Decreasing,cr, MAMMALIA,12.5
Bosman's Potto,Forest,2,Decreasing,nt, MAMMALIA,9
Epioblasma florentina ssp. curtisi,Wetlands (inland),0,Decreasing,cr, BIVALVIA,
Baltic Ringed Seal,Marine Neritic,7,Increasing,lc, MAMMALIA,18.6
Tioman Island Slow Loris,Forest,3,Decreasing,en, MAMMALIA,8
Jebbel Marra Tantalus,Forest,2,Decreasing,vu, MAMMALIA,
Kangaroo Island Dunnart,Shrubland,3,Decreasing,cr, MAMMALIA,
Graell’s Black-mantle Tamarin,Forest,1,Decreasing,nt, MAMMALIA,6
Presbytis rubicunda ssp. rubida,Forest,2,Decreasing,vu, MAMMALIA,14
Shan States Langur,Forest,2,Decreasing,en, MAMMALIA,12
Grey Slender Loris,Forest,6,Decreasing,en, MAMMALIA,7.5
Pemba Vervet Monkey,Forest,2,Decreasing,vu, MAMMALIA,
Malabar Grey Slender Loris,Forest,2,Decreasing,nt, MAMMALIA,7.5
Mysore Grey Slender Loris,Forest,0,Decreasing,nt, MAMMALIA,7.5
Hernández-camacho’s Black Mantle Tamarin,Forest,0,Decreasing,lc, MAMMALIA,6
Siberut Island Pig-tailed Snub-nosed Monkey,Forest,2,Decreasing,cr, MAMMALIA,11
Pig-tailed Snub-nosed Monkey,Forest,2,Decreasing,cr, MAMMALIA,11
Lyon’s Pale-thighed Langur,Forest,3,Decreasing,vu, MAMMALIA,10
Nubian Giraffe,Forest,3,Decreasing,cr, MAMMALIA,10
Demidoff's Dwarf Galago,Forest,3,Stable,lc, MAMMALIA,
Reticulated Giraffe,Forest,2,Decreasing,en, MAMMALIA,10
Kordofan Giraffe,Savanna,4,Decreasing,cr, MAMMALIA,10
Masai Giraffe,Forest,2,Decreasing,en, MAMMALIA,10
Indian Leopard,Forest,6,Decreasing,nt, MAMMALIA,
Moloney's Monkey,Forest,3,Decreasing,lc, MAMMALIA,
West African Giraffe,Savanna,4,Increasing,vu, MAMMALIA,
Western Klipspringer,Rocky areas (eg. inland cliffs,1,Decreasing,en, MAMMALIA,5.4
Haggard's Oribi,Savanna,3,Decreasing,vu, MAMMALIA,3.9
Plains Langur,Forest,1,Stable,lc, MAMMALIA,11
Assam Macaque,Forest,3,Decreasing,nt, MAMMALIA,11
Assam Macaque,Forest,3,Decreasing,nt, MAMMALIA,11
Dry Zone Toque Macaque,Forest,5,Decreasing,en, MAMMALIA,11.5
Boutourlini’s Blue Monkey,Forest,3,Decreasing,vu, MAMMALIA,13
Mishmi Hills Hoolock Gibbon,Forest,2,Decreasing,en, MAMMALIA,15
